Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Sand Point,35.880,75.680,OS-58710 ,Salt peat,2120 ± 25,-13.78,2287-2003,-2.50,0.20,Kemp (2009),1,2120,25,-75.680
Sand Point,35.880,75.680,OS-62716 ,Salt peat,2620 ± 45,-20.65,2849-2543,-2.67,0.20,Kemp (2009),1,2620,45,-75.680
Kitty Hawk,36.050,75.700,Beta-168063,Salt peat,9720 ± 40,-24.6,11231-10889,-30.37,1.10,Mallinson et al. (2005),1,9720,40,-75.700
Kitty Hawk,36.050,75.700,OS-36176,Salt peat,9930 ± 45,-25.48,11603-11235,-30.37,1.10,Mallinson et al. (2005),1,9930,45,-75.700
Kitty Hawk,36.050,75.710,OS-36174,Salt peat,9460 ± 40,-14.64,11062-10576,-35.76,1.10,Mallinson et al. (2005),1,9460,40,-75.710
Buxton,35.260,75.520,BETA-183551,Salt peat,160 ± 30,-25.1,286-0,-0.42,0.20,Horton et al. (2009),1,160,30,-75.520
Salvo,35.650,75.460,OS-39790,Salt peat,200 ± 35,-27.43,306-0,-0.43,0.20,Horton et al. (2009),1,200,35,-75.460
Sand Point,35.880,75.680,OS-64687,Salt peat,615 ± 35,-26.65,658-546,-0.77,0.20,Kemp (2009),1,615,35,-75.680
Sand Point,35.880,75.680,OS-64688,Salt peat,2410 ± 35,-27.45,2698-2346,-2.49,0.20,Kemp (2009),1,2410,35,-75.680
Sand Point,35.880,75.680,OS-64813,Salt peat,1390 ± 110,-27.97,1523-1067,-1.42,0.20,Kemp (2009),1,1390,110,-75.680
Sand Point,35.880,75.680,OS-64689,Salt peat,2410 ± 40,-28.58,2699-2345,-2.68,0.20,Kemp (2009),1,2410,40,-75.680
Kitty Hawk,36.020,75.720,Beta-168060,Plant frags,7830 ± 50,-28,8853-8455,-15.37,1.10,Mallinson et al. (2005),3,7830,50,-75.720
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Albemarle Sound,36.110,76.070,Beta-90661,Crassostrea shell,6140 ± 80,,6682-6273,-15.06,0.51,Horton et al. (2009),4,6140,80,-76.070
Albemarle Sound,36.110,76.070,Beta-90671,Crassostrea shell,2880 ± 60,,2710-2331,-6.68,0.51,Horton et al. (2009),4,2880,60,-76.070
Albemarle Sound,36.110,76.070,Beta-90672,Cyrtopleura/Tegalus shell,4200 ± 100,,4466-3839,-9.11,0.51,Horton et al. (2009),4,4200,100,-76.070
Albemarle Sound,36.110,76.070,Beta-90674,Cyrtopleura shell,4810 ± 40,,5199-4817,-8.99,0.11,Horton et al. (2009),4,4810,40,-76.070
Albemarle Sound,36.050,75.690,Not Stated,Mactra/Mercenaria shell,5225 ± 105,,5755-5213,-11.88,0.11,Horton et al. (2009),4,5225,105,-75.690
Albemarle Sound,36.050,75.690,Not Stated,Ensis shell,5600 ± 110,,6174-5622,-13.37,0.11,Horton et al. (2009),4,5600,110,-75.690
Croatan Sound,35.890,75.720,Beta-115591,Crassostrea shell,4480 ± 80,,4806-4295,-7.91,0.11,Horton et al. (2009),4,4480,80,-75.720
Croatan Sound,35.880,75.710,Beta-115593,Macoma shell,3610 ± 50,-5.3,3584-3229,-6.01,0.51,Horton et al. (2009),4,3610,50,-75.710
Croatan Sound,35.920,75.750,Beta-115595,Cyrtopleura shell,4010 ± 150,,4346-3496,-6.46,0.51,Horton et al. (2009),4,4010,150,-75.750
Croatan Sound,35.920,75.750,Beta-115596,Crassostrea shell,4540 ± 80,,4843-4382,-7.95,0.11,Horton et al. (2009),4,4540,80,-75.750
Croatan Sound,35.920,75.740,Beta-115597,Cyrtopleura shell,3670 ± 50,-0.6,3659-3316,-7.13,0.51,Horton et al. (2009),4,3670,50,-75.740
Croatan Sound,35.920,75.740,Beta-115598,Nassarius shell,3810 ± 50,,3829-3449,-7.68,0.51,Horton et al. (2009),4,3810,50,-75.740
Croatan Sound,35.900,75.730,Beta-119895,Mya shell,4130 ± 60,,4294-3833,-7.66,0.51,Horton et al. (2009),4,4130,60,-75.730
Nags Head,36.150,75.330,W-1402,C. virginica dredge,8130 ± 400,0,9481-7708,-34.00,0.51,Emery et al. (1967),4,8130,400,-75.330
Pea Island,35.750,75.320,Not Stated,Donax shells,5618 ± 100,0,6176-5651,-24.00,0.51,Sears (1973),4,5618,100,-75.320
Pamlico Sound,35.450,75.490,Beta-201772,Chione cancellata shell,1760 ± 40,0.1,1340-1066,-3.70,0.11,Horton et al. (2009),4,1760,40,-75.490
Pamlico Sound,35.470,75.530,Beta-205450,Chione cancellata shell,2070 ± 40,-0.1,1697-1370,-4.94,0.51,Horton et al. (2009),4,2070,40,-75.530
Roanoke Sound,35.950,75.650,Beta-95296,Articulated Crassostrea,1900 ± 60,,1534-1207,-4.16,0.11,Horton et al. (2009),4,1900,60,-75.650
Salvo,35.520,75.480,OS-53608,Chione cancellate,1900 ± 30,1.62,1500-1252,-2.91,0.51,Horton et al. (2009),4,1900,30,-75.480
SNL-113A-63,35.460,75.570,OS-39293,Petricola sp.,7780 ± 45,-2.4,8310-7997,-18.38,0.51,Stanton (2008),4,7780,45,-75.570
SNL-161C-90,35.460,75.570,OS-39198,C. virginica,6580 ± 40,-2.34,7158-6813,-13.38,0.51,Stanton (2008),4,6580,40,-75.570
SNL-163B-28,35.460,75.570,OS-39195,C. virginica,8210 ± 40,-2.7,8836-8409,-18.48,0.51,Stanton (2008),4,8210,40,-75.570
SNL-164D-93,35.460,75.570,OS-39196,C. virginica,8980 ± 35,-1.41,9717-9426,-24.98,0.51,Stanton (2008),4,8980,35,-75.570
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Albemarle Sound,36.110,76.070,Beta-90666,Wood,6060 ± 60,-30.7,7157-6749,-8.71,0.51,Horton et al. (2009),2,6060,60,-76.070
Buxton,35.160,75.310,OS-39792,Undiff peat,315 ± 35,-27.77,472-302,0.53,0.51,Horton et al. (2009),3,315,35,-75.310
Broad Creek,35.850,75.620,I-8988,Paleosol,2505 ± 90,,2750-2356,-1.78,0.51,Horton et al. (2009),3,2505,90,-75.620
Broad Creek,35.860,75.630,I-9208,Paleosol,3545 ± 100,,4141-3577,-1.78,0.51,Horton et al. (2009),3,3545,100,-75.630
Broad Creek,35.870,75.640,I-8990,Paleosol,5315 ± 110,,6312-5770,-1.93,0.51,Horton et al. (2009),3,5315,110,-75.640
Broad Creek,35.870,75.640,I-9253,Fresh peat,2290 ± 110,,2703-2009,-1.79,0.51,Horton et al. (2009),3,2290,110,-75.640
,,,,,,,,,,,,,,
Southern North Carolina,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Tump Point,34.970,76.380,OS-59677 ,Salt peat,350 ± 30,-14.35,493-315,-0.36,0.20,Kemp (2009),1,350,30,-76.380
Tump Point,34.970,76.380,OS-59728 ,Salt peat,385 ± 35,-26.16,509-317,-0.47,0.20,Kemp (2009),1,385,35,-76.380
Tump Point,34.970,76.380,OS-59676 ,Salt peat,915 ± 35,-25.6,921-743,-0.67,0.20,Kemp (2009),1,915,35,-76.380
Tump Point,34.970,76.380,OS-59675 ,Salt peat,1350 ± 30,-26.8,1313-1183,-0.97,0.20,Kemp (2009),1,1350,30,-76.380
Wilmington,34.100,78.000,QC793A,Salt peat,3390 ± 110,0,3901-3387,-3.03,0.59,Cinquemani et al. (1982),3,3390,110,-78.000
Jarrett Bay,34.800,76.490,Not Stated,Salt peat,701 ± 230,-25,1170-0,-0.73,0.25,Spaur and Snyder (1999),2,701,230,-76.490
Jarrett Bay,34.800,76.490,Not Stated,Salt peat,2130 ± 161,-23,2682-1712,-1.91,0.25,Spaur and Snyder (1999),2,2130,161,-76.490
Tump Point,34.970,76.380,OS-59697,Salt peat,1650 ± 35,-14.15,1689-1417,-1.19,0.20,Kemp (2009),1,1650,35,-76.380
Croatan National Forest,34.700,77.100,QC-801,Salt peat,1180 ± 190,,1414-698,-0.77,0.58,Cinquemani et al. (1982),3,1180,190,-77.100
Croatan National Forest,34.700,77.100,QC-802,Salt peat,1735 ± 110,,1890-1402,-1.27,0.58,Cinquemani et al. (1982),3,1735,110,-77.100
Wilmington,34.100,78.000,QC-799,Salt peat,1385 ± 130,,1546-988,-0.93,0.59,Cinquemani et al. (1982),3,1385,130,-78.000
Wilmington,34.100,78.000,QC-793B,Salt peat,3395 ± 110,,3905-3389,-3.43,0.60,Cinquemani et al. (1982),3,3395,110,-78.000
Wilmington,34.100,78.000,QC-794,Salt peat,3600 ± 115,,4240-3592,-4.23,0.60,Cinquemani et al. (1982),3,3600,115,-78.000
Wilmington,34.100,78.000,QC-796,Salt peat,3870 ± 175,,4821-3845,-5.53,0.63,Cinquemani et al. (1982),3,3870,175,-78.000
Wilmington,34.100,78.000,QC-797,Salt peat,5675 ± 250,,7156-5922,-8.03,0.60,Cinquemani et al. (1982),3,5675,250,-78.000
Tump Point,34.970,76.380,OS-66999,Salt peat,535 ± 35,,635-509,-0.80,0.21,Kemp (2009),1,535,35,-76.380
Tump Point,34.970,76.380,OS-66915,Salt peat,185 ± 30,,300-0,-0.55,0.21,Kemp (2009),1,185,30,-76.380
Tump Point,34.970,76.380,OS-66916,Salt peat,860 ± 30,,901-693,-1.04,0.21,Kemp (2009),1,860,30,-76.380
Tump Point,34.970,76.380,OS-66917,Salt peat,960 ± 30,,929-795,-1.15,0.21,Kemp (2009),1,960,30,-76.380
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Pamlico Sound,34.980,76.200,OS-54866,Argopecten,835 ± 30,0.16,485-277,-2.25,0.11,Horton et al. (2009),4,835,30,-76.200
Pamlico Sound,34.900,76.260,OS-53604,Elphidium,1670 ± 30,-1.57,1262-991,-2.91,0.51,Culver et al. (2007),4,1670,30,-76.260
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Cape Fear Arch,33.590,77.880,GX-2965,Undiff peat,10000 ± 300,,12637-10701,-24.64,0.51,Field et al. (1979),3,10000,300,-77.880
Jarrett Bay,34.800,76.490,Not Stated,Fresh peat,3330 ± 263,-27,4282-2880,-2.01,0.19,Spaur and Snyder (1999),3,3330,263,-76.490
Jarrett Bay,34.800,76.490,Not Stated,Fresh peat,5710 ± 142,-28,6856-6214,-2.43,0.19,Spaur and Snyder (1999),3,5710,142,-76.490
,,,,,,,,,,,,,,
Northern South Carolina,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Murrells Inlet,33.580,79.000,GX-16569,Salt peat,4090 ± 235,-24.4,5291-3975,-3.02,0.93,Gayes et al. (1992),1,4090,235,-79.000
Pee Dee River,33.400,79.200,QC-602,Salt peat,3690 ± 150,,4434-3638,-3.41,0.95,Cinquemani et al. (1982),3,3690,150,-79.200
Pee Dee River,33.400,79.200,QC-603,Salt peat,2630 ± 110,,2957-2363,-2.61,0.95,Cinquemani et al. (1982),3,2630,110,-79.200
Pee Dee River,33.400,79.200,QC-813,Salt peat,5625 ± 130,,6737-6129,-6.60,0.95,Cinquemani et al. (1982),3,5625,130,-79.200
Pee Dee River,33.400,79.200,QC-814,Salt peat,6140 ± 200,,7429-6555,-6.59,0.97,Cinquemani et al. (1982),3,6140,200,-79.200
Santee River,33.200,79.400,QC-595,Salt peat,4420 ± 405,,5986-3924,-4.11,0.96,Cinquemani et al. (1982),3,4420,405,-79.400
Santee River,33.200,79.400,QC-596(1),Salt peat,3105 ± 85,,3554-3068,-3.01,0.95,Cinquemani et al. (1982),3,3105,85,-79.400
Santee River,33.200,79.400,QC-596(2),Salt peat,3135 ± 140,,3687-2959,-3.01,0.95,Cinquemani et al. (1982),3,3135,140,-79.400
Murrells Inlet,33.580,79.000,GX-15987,Salt peat,3340 ± 240,-22.6,4235-2961,-3.05,0.93,Gayes et al. (1992),1,3340,240,-79.000
Pee Dee River,33.400,79.200,QC-604,Salt peat,4680 ± 115,,5644-5042,-4.81,0.95,Cinquemani et al. (1982),3,4680,115,-79.200
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Santee River,33.200,79.400,QC-597,Paleosol,4550 ± 150,,5583-4857,-3.22,0.65,Cinquemani et al. (1982),3,4550,150,-79.400
Murrells Inlet,33.580,79.000,GX-16476,Peat,4550 ± 150,-28.4,2732-1616,-0.11,0.63,Gayes et al. (1992),3,4550,150,-79.000
Murrells Inlet,33.580,79.000,GX-16477,Wood,2510 ± 140,-28.2,2919-2181,-0.21,0.63,Gayes et al. (1992),2,2510,140,-79.000
Murrells Inlet,33.580,79.000,GX-16568,Peat,3460 ± 155,-27.5,4148-3378,-2.13,0.63,Gayes et al. (1992),3,3460,155,-79.000
Murrells Inlet,33.580,79.000,GX-16571,Peat,2355 ± 140,-27.8,2748-2060,-0.12,0.63,Gayes et al. (1992),3,2355,140,-79.000
Murrells Inlet,33.580,79.000,GX-16572,Peat,8575 ± 270,-27.3,10272-8790,-1.43,0.63,Gayes et al. (1992),3,8575,270,-79.000
Murrells Inlet,33.580,79.000,GX-15988,Peat,9035 ± 245,-27.8,11059-9527,-2.51,0.63,Gayes et al. (1992),3,9035,245,-79.000
Murrells Inlet,33.580,79.000,GX-16480,Peat,9510 ± 285,-29,11762-9944,-2.57,0.63,Gayes et al. (1992),3,9510,285,-79.000
,,,,,,,,,,,,,,
Southern South Carolina,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Combahee River,32.700,80.700,QC-589,Salt peat,5400 ± 115,,6401-5933,-4.10,1.02,Cinquemani et al. (1982),3,5400,115,-80.700
Combahee River,32.700,80.700,QC-593,Salt peat,5280 ± 115,,6297-5753,-3.95,1.02,Cinquemani et al. (1982),3,5280,115,-80.700
Combahee River,32.700,80.700,QC-594,Salt peat,5620 ± 140,,6743-6025,-3.58,1.02,Cinquemani et al. (1982),3,5620,140,-80.700
Combahee River,32.700,80.700,QC-609,Salt peat,2880 ± 105,,3323-2781,-2.20,1.02,Cinquemani et al. (1982),3,2880,105,-80.700
Combahee River,32.700,80.700,QC-610_a,Salt peat,3325 ± 130,,3895-3265,-2.68,1.02,Cinquemani et al. (1982),3,3325,130,-80.700
Combahee River,32.700,80.700,QC-828,Salt peat,4425 ± 170,,5577-4577,-3.29,1.04,Cinquemani et al. (1982),3,4425,170,-80.700
Coosawatchie River,32.600,80.900,QC-826,Salt peat,2125 ± 100,,2337-1897,-1.28,1.03,Cinquemani et al. (1982),3,2125,100,-80.900
Coosawatchie River,32.600,80.900,QC-827,Salt peat,730 ± 105,,907-533,-0.72,1.03,Cinquemani et al. (1982),3,730,105,-80.900
Savannah River,32.100,81.000,QC-599,Salt peat,3095 ± 95,,3553-3003,-2.61,1.11,Cinquemani et al. (1982),3,3095,95,-81.000
Savannah River,32.100,81.000,QC-600,Salt peat,2320 ± 110,,2718-2066,-2.41,1.11,Cinquemani et al. (1982),3,2320,110,-81.000
Savannah River,32.100,81.000,QC-821,Salt peat,2440 ± 130,,2776-2156,-3.26,1.11,Cinquemani et al. (1982),3,2440,130,-81.000
Savannah River,32.100,81.000,QC-825,Salt peat,3130 ± 125,,3637-2995,-1.96,1.11,Cinquemani et al. (1982),3,3130,125,-81.000
Cooper-Wando River,32.900,79.900,QC-584,Salt peat,3100 ± 100,,3556-3004,-2.50,0.94,Cinquemani et al. (1982),3,3100,100,-79.900
Cooper-Wando River,32.900,79.900,QC-586,Salt peat,5005 ± 140,,6175-5333,-4.40,0.96,Cinquemani et al. (1982),3,5005,140,-79.900
Cooper-Wando River,32.900,79.900,QC-587,Salt peat,4290 ± 125,,5287-4525,-3.45,0.95,Cinquemani et al. (1982),3,4290,125,-79.900
Cooper-Wando River,32.900,79.900,QC-588,Salt peat,4135 ± 65,,4838-4448,-2.85,0.95,Cinquemani et al. (1982),3,4135,65,-79.900
Cooper-Wando River,32.900,79.900,QC-611,Salt peat,2150 ± 110,,2352-1882,-1.60,0.94,Cinquemani et al. (1982),3,2150,110,-79.900
Cooper-Wando River,32.900,79.900,QC-613,Salt peat,2330 ± 140,,2740-2012,-1.85,1.00,Cinquemani et al. (1982),3,2330,140,-79.900
Cooper-Wando River,32.900,79.900,QC-702,Salt peat,4665 ± 130,,5647-4973,-2.80,0.95,Cinquemani et al. (1982),3,4665,130,-79.900
Cooper-Wando River,32.900,79.900,QC-703,Salt peat,3100 ± 155,,3678-2878,-2.00,0.94,Cinquemani et al. (1982),3,3100,155,-79.900
Cooper-Wando River,32.900,79.900,QC-704,Salt peat,4755 ± 285,,6181-4665,-3.95,0.95,Cinquemani et al. (1982),3,4755,285,-79.900
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Cooper-Wando River,32.900,79.900,QC-583,Stump,2035 ± 105,,2311-1739,-0.20,0.62,Cinquemani et al. (1982),2,2035,105,-79.900
Cooper-Wando River,32.900,79.900,QC-585,Stump,2695 ± 115,,3144-2464,-1.20,0.62,Cinquemani et al. (1982),2,2695,115,-79.900
